ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin,BufferString
0,MProudfoot084,m$onsteR29,Matthew,Proudfoot,210-618-2845,,0,1,
1,KYavanna734,wrIt^e91,Kathleen,Yavanna,316-311-6679,KYavanna98@mailbox.co.uk,1,0,
2,SShagrat51,resc$uE53,Sara,Shagrat,423-914-9565,SShagrat42@hotmail.us,0,1,
3,ATreebeard4,se#cretlY84,Annabelle,Treebeard,702-588-3917,Annabelle.Treebeard93@everymail.us,1,1,
4,JManwe11,mon$stEr11,Janice,Manwe,240-655-7336,,0,1,
5,BAldarion137,inter^Est47,Barbara,Aldarion,,BAldarion86@bizmail.com,1,1,
6,LGimli24,Re%scue42,Lawrence,Gimli,,LGimli48@mailbox.net,0,1,
7,PNori2,co(mputeR86,Philip,Nori,219-634-1842,,1,0,
8,EMablung2,dem)anDed16,Eve,Mablung,307-874-5710,EMablung1@bizmail.us,0,0,
9,JMaggot05,wRong$52,Jaime,Maggot,316-393-1350,JMaggot91@mail2u.co.uk,1,1,
10,IElrohir7,comPu%ter26,Isaiah,Elrohir,217-071-0433,IElrohir74@gmail.org,1,1,
11,LElentari51,Computer)68,Lilly,Elentari,201-850-4596,,0,0,
12,BSmeagol36,compuTer*18,Benjamin,Smeagol,210-464-8941,,0,1,
13,EGildor10,rEscue^27,Eileen,Gildor,385-761-5224,EGildor@gmail.org,0,1,
14,JThorondor74,viSions@47,Jerry,Thorondor,276-761-5931,JThorondor99@mailbox.us,0,0,
15,NSackville5,Com#puter24,Niki,Sackville,302-090-1347,NSackville44@gmail.biz,1,0,
16,TImrahil386,compUter^74,Thomas,Imrahil,458-946-1894,TImrahil43@bizmail.org,0,0,
17,AAlatar85,Endi!ng19,Angie,Alatar,401-654-8374,AAlatar15@yahoo.biz,0,1,
18,ZGaladriel766,compU^ter19,Zoey,Galadriel,,,0,0,
19,AValaquenta3,wHi$le44,Alexander,Valaquenta,907-024-5027,AValaquenta83@mailbox.com,0,0,
20,VErkenbrand569,wicKet!78,Victoria,Erkenbrand,458-725-8464,,0,0,
