ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin,BufferString
0,MProudfoot08,Comput@er42,Matthew,Proudfoot,307-618-2845,MProudfoot61@hotmail.biz,0,0,
1,MBeren9,libr(aRy47,Margaret,Beren,307-131-1667,MBeren6@gmail.us,1,0,
2,JPalantir5,co^Mputer51,Jewel,Palantir,,JPalantir33@bizmail.us,1,1,
3,VThorondor39,w#rOng40,Valerie,Thorondor,208-921-2588,VThorondor9@mailbox.biz,0,1,
4,STurambar3,tryi$nG11,Samuel,Turambar,302-397-6557,STurambar@hotmail.co.uk,1,1,
5,AThingol4,shoul*D31,Angie,Thingol,209-169-6479,AThingol21@bizmail.com,0,1,
6,MEowyn955,winD(ow52,Melody,Eowyn,308-470-0587,MEowyn12@everymail.net,0,1,
7,KElros41,cOmpute%r22,Karen,Elros,205-233-9563,,1,1,
8,PAncalagon571,mOnst^er29,Paul,Ancalagon,423-404-1874,PAncalagon39@mail2u.org,0,1,
9,LAlatar5,gh#Ost57,Lexie,Alatar,303-443-9313,Lexie.Alatar95@bizmail.net,0,1,
10,LGrahame4,rEsc!ue70,Lara,Grahame,205-751-0710,LGrahame@everymail.biz,0,0,
11,MLuthien596,visI(ons72,Margaret,Luthien,808-930-8504,Margaret.Luthien@bizmail.co.uk,1,0,
12,RKing413,C%aptain51,Rachel,King,,RKing@hotmail.biz,1,0,
13,AIdril41,Should#12,Andrea,Idril,314-076-1522,AIdril77@everymail.org,0,0,
14,RGothmog17,liBra@ry54,Rose,Gothmog,405-976-1593,RGothmog42@mailbox.us,1,0,
15,LAldarion7,Islan%d22,Liam,Aldarion,802-609-0134,LAldarion85@somemail.co.uk,1,0,
16,SAmrod4,bOoks#64,Sasha,Amrod,,SAmrod51@gmail.co.uk,0,0,
17,MThranduil374,isl$And81,Marilyn,Thranduil,252-597-6548,,1,0,
18,AIsildur9,sec%rEtly66,Alyssa,Isildur,605-921-3181,AIsildur38@bizmail.biz,1,0,
19,TThe Brown502,tryIn%g61,Tina,The Brown,,TTheBrown36@yahoo.org,1,0,
20,LAncalagon645,shoul@D55,Logan,Ancalagon,217-377-2584,LAncalagon29@everymail.com,1,1,
21,OCotton71,c#ompUter72,Oliver,Cotton,210-933-5277,OCotton7@everymail.us,0,1,
22,MStormcrow635,ass@Ert21,Marilyn,Stormcrow,217-249-2495,,0,0,
23,RAncalagon219,wiCk#et98,Richard,Ancalagon,,,1,0,
24,AMablung96,visionS!70,Autumn,Mablung,513-666-7568,AMablung72@hotmail.biz,1,1,
25,JHurin70,r$escUe49,Julia,Hurin,316-623-8029,JHurin17@mail2u.net,1,0,
26,SElrohir352,Book)s74,Sydney,Elrohir,479-452-8353,SElrohir@mailbox.com,1,1,
27,AGoldberry1,s@peeD49,Ana,Goldberry,701-410-3338,AGoldberry@bizmail.biz,0,1,
28,ILurtz7,builD%82,Isaiah,Lurtz,229-810-4844,ILurtz78@mail2u.net,0,1,
29,TBeregond281,rab*bIt87,Tara,Beregond,319-382-5913,,0,1,
30,DShelob076,Island*42,David,Shelob,,,1,1,
31,MFaramir7,Pi#que17,Matthew,Faramir,,MFaramir@yahoo.biz,1,1,
32,CGaladriel3,bAd$ly57,Carolina,Galadriel,231-475-0498,CGaladriel38@mailbox.net,0,1,
33,LBifur9,sh@ouLd84,Lilly,Bifur,252-053-8403,,1,0,
34,DMorgoth98,e*ndIng13,Dianna,Morgoth,210-520-8656,DMorgoth@gmail.co.uk,0,1,
35,KStormcrow284,com%puTer61,Kelly,Stormcrow,308-637-5684,KStormcrow33@hotmail.co.uk,0,1,
36,NCurufin3,M!onster32,Natalie,Curufin,,NCurufin49@hotmail.co.uk,0,1,
37,AFinwe472,dRea)ms61,Angie,Finwe,,AFinwe53@somemail.org,1,0,
38,BGildor27,abOut@40,Barbara,Gildor,423-239-2924,,0,0,
39,MShagrat90,wi!ckeT56,Monica,Shagrat,513-859-3998,MShagrat24@somemail.biz,1,1,
40,AIlluvatar720,Pique@00,Annabella,Illuvatar,385-908-6167,AIlluvatar61@bizmail.us,0,1,
41,WKementari227,mons@Ter87,William,Kementari,808-995-2679,,1,0,
42,STuor92,secret)Ly13,Shirley,Tuor,859-299-2032,Shirley.Tuor72@yahoo.org,1,0,
43,BBombadil310,l#iBrary73,Brittany,Bombadil,201-656-3281,BBombadil77@mail2u.biz,0,1,
44,BMorgoth281,Ente(r73,Billy,Morgoth,262-477-6265,,1,0,
45,MEomer911,v*isioNs89,Marie,Eomer,219-244-0341,Marie.Eomer16@mailbox.co.uk,1,0,
46,CHalbarad6,ligH%t07,Carla,Halbarad,480-728-6760,Carla.Halbarad63@hotmail.com,0,1,
47,CNienna702,capt%Ain58,Claire,Nienna,239-650-1330,,1,0,
48,DNimloth204,rescu)E00,Delilah,Nimloth,,DNimloth32@hotmail.net,0,0,
49,JThe White079,lIbra$ry19,Jewel,The White,505-949-3802,JTheWhite46@hotmail.net,0,1,
50,JGothmog34,throu(Gh74,Jonathan,Gothmog,302-926-3908,JGothmog81@mailbox.org,0,0,
51,LArwen764,visionS)64,Lida,Arwen,308-992-3621,,0,0,
52,KValaquenta30,bui#lD43,Kathleen,Valaquenta,201-896-6285,KValaquenta41@yahoo.biz,1,1,
53,ATook94,r!abbIt58,Averie,Took,252-353-2626,ATook20@yahoo.co.uk,0,0,
54,JErkenbrand53,woRd@s97,Josie,Erkenbrand,206-100-5504,JErkenbrand74@yahoo.com,1,1,
55,MAngrod15,rEsc$ue79,Megan,Angrod,240-890-2241,MAngrod49@gmail.net,0,1,
56,CDwalin76,shoUl*d32,Chelsea,Dwalin,218-029-7556,,0,1,
57,JDamrod6,lIbrary(02,John,Damrod,225-522-9460,JDamrod@everymail.org,0,0,
58,LEomer6,e(Nter37,Louis,Eomer,208-621-5438,LEomer8@mailbox.net,1,1,
59,JGimli7,demand)eD17,Jeremy,Gimli,,JGimli@bizmail.org,1,0,
60,GBaggins57,shou)lD96,Gregory,Baggins,859-011-9470,GBaggins@hotmail.net,1,0,
61,AKili946,S%ecretly11,Adam,Kili,225-478-5453,AKili77@hotmail.co.uk,1,1,
62,ARadagast5,caPtain^14,Ana,Radagast,205-756-4791,ARadagast16@everymail.net,1,1,
63,KBeren18,com(putEr28,Kayla,Beren,240-089-2037,KBeren94@yahoo.biz,1,0,
64,SAngrod8,comPut(er83,Sara,Angrod,385-518-5251,SAngrod53@yahoo.com,0,0,
65,FSackville955,W!rite53,Frank,Sackville,,FSackville17@everymail.us,1,0,
66,ATheoden2,whIt%e97,Ann,Theoden,603-511-7260,ATheoden17@somemail.net,1,1,
67,TDurin22,Rescue^81,Terry,Durin,,,1,1,
68,JSauron005,endI(ng84,Joan,Sauron,,,1,1,
69,ENesa476,susPens%e65,Erika,Nesa,,ENesa53@yahoo.net,1,0,
70,FElwing123,Island(90,Felicity,Elwing,458-960-0884,FElwing@somemail.co.uk,1,0,
71,PValaquenta54,visi!onS61,Patricia,Valaquenta,215-824-0538,PValaquenta98@yahoo.co.uk,0,0,
72,GMelian91,visIon*s49,Grace,Melian,276-305-9711,GMelian55@somemail.net,1,0,
73,PUlmo13,t%Rying00,Pamela,Ulmo,218-966-7558,PUlmo12@gmail.co.uk,1,1,
74,LKing17,c@ompUter77,Lucy,King,802-054-5387,Lucy.King@mail2u.us,0,1,
75,GOri893,vi$sioNs65,Gary,Ori,423-013-6935,GOri@gmail.org,1,0,
76,JGandalf40,Visi@ons56,Jacqueline,Gandalf,231-181-6827,JGandalf@hotmail.net,1,0,
77,JDamrod767,compUt%er24,Jeffrey,Damrod,701-140-5398,,0,1,
78,LBeren9,Pi*que17,Linda,Beren,316-100-9807,LBeren@mail2u.com,1,0,
79,DOrome18,visioN(s23,Delilah,Orome,605-248-3093,Delilah.Orome35@yahoo.us,0,1,
80,CShelob9,Throw(68,Catherine,Shelob,702-399-3868,CShelob64@hotmail.org,0,0,
81,LSauron820,deman#deD79,Logan,Sauron,218-070-5067,,0,1,
82,IFili668,Badly!24,Isabell,Fili,206-099-5984,,0,0,
83,ELurtz83,Re(scue64,Evelyn,Lurtz,240-003-7720,ELurtz72@hotmail.org,1,1,
84,RThe Grey02,thrO#w31,Raven,The Grey,,RTheGrey63@mail2u.com,1,0,
85,MShadowfax41,ent(Er67,Mina,Shadowfax,219-523-9592,MShadowfax22@everymail.net,0,0,
86,AKing826,l)Ibrary61,Arthur,King,,AKing18@gmail.us,0,0,
87,MElfhelm393,Ca!ptain73,Mason,Elfhelm,,MElfhelm35@everymail.co.uk,1,0,
88,JMiriel530,c*aptaIn82,Joe,Miriel,308-089-5367,JMiriel64@bizmail.co.uk,1,0,
89,LOri930,co#Mputer50,Liv,Ori,308-527-4839,LOri16@gmail.biz,0,0,
90,JAlatar4,compUte!r98,Joshua,Alatar,479-087-6954,JAlatar19@yahoo.biz,0,1,
91,JKhamul995,t#Rees84,Jenny,Khamul,231-282-9664,Jenny.Khamul70@bizmail.net,0,0,
92,DSauron45,thro%ugH46,Dana,Sauron,276-010-5211,DSauron42@mailbox.biz,0,0,
93,FAncalagon7,R)escue38,Frances,Ancalagon,,,1,1,
94,PMelian59,S@ecretly26,Patricia,Melian,210-213-5458,PMelian@somemail.biz,0,1,
95,KPharazon817,Captai$n32,Kai,Pharazon,262-099-0702,KPharazon12@yahoo.biz,1,1,
96,MCelebrimbor4,mon^sTer75,Maggie,Celebrimbor,,Maggie.Celebrimbor@yahoo.org,1,0,
97,JDori26,iSland%63,Jennifer,Dori,201-462-1494,JDori65@mailbox.biz,0,1,
98,IGaladriel2,t*hrOugh57,Iris,Galadriel,276-665-8460,IGaladriel43@gmail.org,1,1,
99,CAldarion584,m(onSter80,Cindy,Aldarion,505-956-5672,,1,0,
100,ZElwing48,wiC$ket19,Zelda,Elwing,513-553-3278,ZElwing77@everymail.us,1,1,
101,RThe Brown818,wicK!et16,Ralph,The Brown,231-769-1710,Ralph.TheBrown0@yahoo.biz,1,0,
102,MMithrandir23,Vi$sions95,Molly,Mithrandir,217-748-7696,MMithrandir58@hotmail.com,0,1,
103,NBeren19,al(wAys46,Noah,Beren,907-443-0532,,0,1,
104,EIsildur6,computeR*80,Eve,Isildur,307-284-1631,EIsildur82@mailbox.biz,1,1,
